Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-25.871,-2.0065,-12.81,-4.9261,-12.183,-4.9261,-12.569,-2.0065,-17.152,-24.013,-17.516001,-18.407,-16.715,-17.667999,-21.891001,-15.395,-25.193001,-19.0,-26.799,-5.0761,-14.778
-23.881001,-3.9482,-10.85,-5.9113,-14.213,-5.9113,-13.611,-3.9482,-18.157,-25.007999,-14.575,-20.358,-11.837,-13.727,-24.875999,-14.428,-21.173,-21.0,-22.837999,-6.0914,-16.749001
-19.9,-6.8608,-10.85,-7.8818,-17.259001,-7.8818,-13.611,-6.8608,-21.173,-24.013,-10.654,-13.528,-6.9593,-10.772,-22.886,-10.564,-21.173,-18.0,-18.878,-7.1066,-19.704
-18.905001,-8.8026,-7.9085,-8.867,-20.305,-8.867,-13.611,-8.8026,-20.167999,-23.018,-13.595,-9.626,-9.8862,-12.742,-20.896,-7.6651,-24.188,-15.0,-20.858,-11.168,-21.674999
-17.91,-7.8317,-6.9281,-7.8818,-19.289,-7.8818,-11.528,-7.8317,-13.132,-22.023001,-14.575,-9.626,-12.813,-15.698,-16.915001,-8.6312,-25.193001,-13.0,-22.837999,-10.152,-19.704
-15.92,-7.8317,-3.9869,-5.9113,-18.274,-5.9113,-9.4444,-7.8317,-8.1072,-21.028,-16.535999,-8.6504,-9.8862,-15.698,-13.93,-9.5974,-26.198,-11.0,-21.848,-10.152,-16.749001
-12.935,-8.8026,-1.0458,-4.9261,-19.289,-4.9261,-5.2778,-8.8026,-1.072,-19.038,-16.535999,-9.626,-9.8862,-12.742,-11.94,-7.6651,-26.198,-7.0,-19.868,-12.183,-13.793
-11.94,-6.8608,-1.0458,-3.9409,-17.259001,-3.9409,-6.3194,-6.8608,-6.0972,-18.042999,-17.516001,-11.577,-12.813,-11.757,-13.93,-6.6989,-26.198,-7.0,-18.878,-11.168,-12.808
-13.93,-8.8026,-3.9869,-3.9409,-17.259001,-3.9409,-9.4444,-8.8026,-12.127,-20.033001,-19.476999,-11.577,-17.691,-13.727,-17.91,-9.5974,-27.202999,-11.0,-20.858,-12.183,-15.764
-12.935,-6.8608,1.8954,-0.98522,-14.213,-0.98522,-6.3194,-6.8608,-8.1072,-16.052999,-20.458,-8.6504,-15.74,-10.772,-13.93,-7.6651,-24.188,-9.0,-18.878,-7.1066,-12.808
