Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-2.9851,24.207001,12.68,23.645,13.198,23.645,16.597,24.207001,-7.1022,-7.0978,16.797001,2.0813,20.358,5.977,-4.9751,3.9291,2.9481,1.0,7.8548,20.305,9.8522
-13.93,21.294001,12.68,22.66,7.1066,22.66,11.389,21.294001,-13.132,-17.048,3.0719,-0.84553,4.748,-6.8309,-11.94,-4.7665,-5.0921,-8.0,-5.0165,14.213,3.9409
-16.915001,17.410999,16.601,19.704,3.0457,19.704,10.347,17.410999,-1.072,-18.042999,-10.654,4.0325,-3.0569,-9.7865,-9.9502,-4.7665,-7.1022,-7.0,-11.947,8.1218,1.9704
-10.945,17.410999,19.542,21.674999,9.1371,21.674999,16.597,17.410999,15.008,-10.083,-7.7124,12.813,3.7724,-9.7865,2.9851,0.06441,-0.067,2.0,-10.957,11.168,8.867
-12.935,18.382,18.562,20.690001,11.168,20.690001,17.639,18.382,15.008,-10.083,-17.516001,7.935,4.748,-17.667999,1.99,-6.6989,-2.0771,1.0,-16.898001,12.183,9.8522
-14.925,16.440001,13.66,16.749001,10.152,16.749001,14.514,16.440001,6.9682,-14.063,-20.458,-5.7236,-2.0813,-19.639,-4.9751,-12.496,-7.1022,-6.0,-17.888,12.183,7.8818
0.99502,19.353001,17.582001,19.704,17.259001,19.704,20.764,19.353001,12.998,-5.1078,-2.8105,1.1057,8.6504,-1.9048,1.99,0.06441,3.9531,5.0,-0.06601,15.228,16.749001
13.93,18.382,16.601,19.704,15.228,19.704,19.722,18.382,0.93802,-0.13267,6.0131,16.715,14.504,14.844,5.9701,13.591,9.9832,17.0,14.785,14.213,17.733999
11.94,14.498,11.699,15.764,8.1218,15.764,11.389,14.498,-11.122,-4.1128,2.0915,15.74,5.7236,15.829,0.99502,14.557,4.9581,16.0,13.795,8.1218,10.837
12.935,15.469,10.719,16.749001,8.1218,16.749001,12.431,15.469,-3.0821,-2.1227,11.895,16.715,1.8211,19.77,2.9851,17.455999,5.9631,18.0,15.776,7.1066,12.808
17.91,16.440001,10.719,17.733999,10.152,17.733999,16.597,16.440001,14.003,3.8474,23.66,28.423,7.6748,25.681,10.945,24.219,9.9832,26.0,21.716,9.1371,15.764
17.91,17.410999,13.66,18.719,12.183,18.719,18.681,17.410999,36.113998,7.8275,25.621,31.35,11.577,23.711,18.905001,24.219,12.998,27.0,21.716,11.168,16.749001
18.905001,20.323999,24.444,22.66,18.274,22.66,23.889,20.323999,22.044001,15.788,24.641001,33.300999,19.382,26.667,24.875999,28.084,19.028,29.0,22.705999,17.259001,22.66
12.935,21.294001,18.562,22.66,20.305,22.66,24.931,21.294001,0.93802,17.778,19.739,27.447001,13.528,22.726,22.886,25.184999,19.028,24.0,18.746,19.289,23.645
2.9851,20.323999,13.66,22.66,17.259001,22.66,24.931,20.323999,10.988,12.803,16.797001,22.569,10.602,10.903,18.905001,13.591,12.998,15.0,10.825,20.305,20.690001
0.99502,21.294001,20.523001,22.66,17.259001,22.66,29.097,21.294001,18.023001,11.808,6.9935,23.545,14.504,6.9622,21.891001,10.692,12.998,15.0,5.8746,22.334999,20.690001
-0.99502,19.353001,18.562,19.704,12.183,19.704,24.931,19.353001,28.073999,4.8425,-4.7712,14.764,5.7236,-1.9048,18.905001,3.9291,4.9581,12.0,-1.0561,17.259001,14.778
7.9602,17.410999,20.523001,19.704,12.183,19.704,23.889,17.410999,20.034,5.8375,1.1111,18.667,7.6748,4.9918,20.896,8.7601,7.9732,20.0,4.8845,15.228,13.793
12.935,16.440001,17.582001,18.719,11.168,18.719,19.722,16.440001,9.9832,2.8524,6.9935,19.642,14.504,11.888,15.92,13.591,8.9782,22.0,9.835,15.228,11.823
8.9552,12.557,12.68,15.764,7.1066,15.764,13.472,12.557,15.008,-3.1177,2.0915,9.8862,9.626,7.9475,8.9552,12.625,2.9481,14.0,4.8845,13.198,6.8966
2.9851,7.7023,8.7582,9.8522,1.0152,9.8522,7.2222,7.7023,1.943,-8.0929,-5.7516,6.9593,-1.1057,2.0361,3.9801,7.7939,-5.0921,7.0,-2.0462,10.152,1.9704
1.99,6.7314,6.7974,8.867,0.0,8.867,6.1806,6.7314,1.943,-8.0929,-2.8105,10.862,-4.0325,5.977,2.9851,8.7601,-5.0921,6.0,-0.06601,9.1371,0.98522
8.9552,9.644,11.699,13.793,4.0609,13.793,11.389,9.644,27.069,-2.1227,2.0915,15.74,0.84553,15.829,6.9652,16.49,1.943,11.0,7.8548,11.168,5.9113
11.94,10.615,15.621,16.749001,5.0761,16.749001,13.472,10.615,17.018,-0.13267,9.9346,16.715,7.6748,18.785,6.9652,20.354,5.9631,12.0,11.815,13.198,7.8818
7.9602,9.644,18.562,17.733999,5.0761,17.733999,12.431,9.644,8.9782,-1.1277,9.9346,15.74,8.6504,15.829,4.9751,20.354,3.9531,11.0,8.8449,13.198,6.8966
